asema,laiva,nimi,rpm,kulutus,kayttoaste,nopeus,matkakulutus,kaytto,nm,nm_edvuosi,luotsaukset,seuraava_tankkaus,seuraava_korjaus,mlh,mkmh,kml
Harmaja,L139,Kutteri L139,1794,82.3,100,40.8,35.6,0.40123,636,610.3568008,67,7,59,80.34,40.04,2.006493506
Harmaja,L139,Kutteri L139,1796,82.3,100,40.5,67.5,0.40123,636,610.3568008,67,7,59,81.54,40.24,2.026341948
Harmaja,L139,Kutteri L139,1797,82.3,100,41,39.3,0.40123,636,610.3568008,67,7,59,82.1,40.48,2.028162055
Harmaja,L139,Kutteri L139,1800,82.1,100,41.5,33.9,0.40123,636,610.3568008,67,7,59,82.16,40.8,2.01372549
Harmaja,L139,Kutteri L139,1802,82.4,100,41.5,14.7,0.40123,636,610.3568008,67,7,59,82.28,41.06,2.003896736
Harmaja,L139,Kutteri L139,1802,82.3,100,41,22,0.40123,636,610.3568008,67,7,59,82.28,41.1,2.001946472
Harmaja,L139,Kutteri L139,1803,80.8,100,43.1,7.3,0.40123,636,610.3568008,67,7,59,81.98,41.62,1.969726093
Harmaja,L139,Kutteri L139,1805,81.3,100,42.6,45.8,0.40123,636,610.3568008,67,7,59,81.78,41.94,1.949928469
Harmaja,L139,Kutteri L139,1806,81.8,100,43.2,41.4,0.40123,636,610.3568008,67,7,59,81.72,42.28,1.932828761
Harmaja,L139,Kutteri L139,1813,78.4,100,42,1.6,0.40123,636,610.3568008,67,7,59,80.92,42.38,1.909391222
Harmaja,L225,Nopea luotsivene L225,633,7.4,43,2.8,34.6,0.40123,1932,2143,228,3,32,4.92,5.58,0.88172043
Harmaja,L225,Nopea luotsivene L225,646,8,46,8.3,74.3,0.40123,1932,2143,228,3,32,4.92,5.58,0.88172043
Harmaja,L225,Nopea luotsivene L225,647,1.7,10,0,42.1,0.40123,1932,2143,228,3,32,4.92,5.58,0.88172043
Harmaja,L225,Nopea luotsivene L225,648,2.2,13,5.4,14.2,0.40123,1932,2143,228,3,32,4.92,5.58,0.88172043
Harmaja,L225,Nopea luotsivene L225,649,5.3,30,11.4,43.8,0.40123,1932,2143,228,3,32,4.92,5.58,0.88172043
Harmaja,L225,Nopea luotsivene L225,649,1.4,9,0,85.3,0.40123,1932,2143,228,3,32,3.72,5.02,0.741035857
Harmaja,L225,Nopea luotsivene L225,649,6.2,35,12.9,0.5,0.40123,1932,2143,228,3,32,3.36,5.94,0.565656566
Harmaja,L225,Nopea luotsivene L225,650,2.1,13,0,44.1,0.40123,1932,2143,228,3,32,3.44,5.94,0.579124579
Harmaja,L225,Nopea luotsivene L225,650,8.3,48,6.8,8.3,0.40123,1932,2143,228,3,32,4.66,6.22,0.749196141
Harmaja,L225,Nopea luotsivene L225,650,1.2,7,7,29.3,0.40123,1932,2143,228,3,32,3.84,5.34,0.719101124
Harmaja,L225,Nopea luotsivene L225,650,6.3,36,12.1,0.1,0.40123,1932,2143,228,3,32,4.82,7.76,0.621134021
Harmaja,L225,Nopea luotsivene L225,651,1.5,8,3.6,51.3,0.40123,1932,2143,228,3,32,3.88,5.9,0.657627119
Harmaja,L225,Nopea luotsivene L225,651,1.8,11,0,33.9,0.40123,1932,2143,228,3,32,3.82,5.9,0.647457627
Harmaja,L225,Nopea luotsivene L225,652,6.2,36,12.9,22.2,0.40123,1932,2143,228,3,32,3.4,7.12,0.47752809
Harmaja,L225,Nopea luotsivene L225,667,2.1,12,0,44.8,0.40123,1932,2143,228,3,32,3.58,5.72,0.625874126
Harmaja,L225,Nopea luotsivene L225,866,13.1,58,17.7,66.8,0.40123,1932,2143,228,3,32,4.94,6.84,0.722222222
Harmaja,L225,Nopea luotsivene L225,893,13.3,57,17.2,61.1,0.40123,1932,2143,228,3,32,7.3,9.56,0.763598326
Harmaja,L225,Nopea luotsivene L225,1020,20.9,71,17.6,23.4,0.40123,1932,2143,228,3,32,11.12,13.08,0.850152905
Harmaja,L225,Nopea luotsivene L225,1063,23.8,75,18.6,0.7,0.40123,1932,2143,228,3,32,14.64,14.22,1.029535865
Harmaja,L225,Nopea luotsivene L225,1065,18.7,66,21.3,22.8,0.40123,1932,2143,228,3,32,17.96,18.48,0.971861472
Harmaja,L225,Nopea luotsivene L225,1081,23.6,72,17.1,22.3,0.40123,1932,2143,228,3,32,20.06,18.36,1.092592593
Harmaja,L225,Nopea luotsivene L225,1170,30.4,78,20.9,15,0.40123,1932,2143,228,3,32,23.48,19.1,1.229319372
Harmaja,L225,Nopea luotsivene L225,1224,34.1,80,21.3,12.7,0.40123,1932,2143,228,3,32,26.12,19.84,1.316532258
Harmaja,L225,Nopea luotsivene L225,1336,45,89,25.2,24.7,0.40123,1932,2143,228,3,32,30.36,21.16,1.434782609
Harmaja,L225,Nopea luotsivene L225,1391,31.3,75,29.7,11,0.40123,1932,2143,228,3,32,32.88,22.84,1.439579685
Harmaja,L225,Nopea luotsivene L225,1417,51.5,88,25.4,24.6,0.40123,1932,2143,228,3,32,38.46,24.5,1.569795918
Harmaja,L225,Nopea luotsivene L225,1433,45.9,83,31.9,1.4,0.40123,1932,2143,228,3,32,41.56,26.7,1.556554307
Harmaja,L225,Nopea luotsivene L225,1542,58,88,32.5,5,0.40123,1932,2143,228,3,32,46.34,28.94,1.601243953
Harmaja,L225,Nopea luotsivene L225,1588,69,99,40.6,4.5,0.40123,1932,2143,228,3,32,51.14,32.02,1.597126796
Harmaja,L225,Nopea luotsivene L225,1607,64.4,95,35.5,21.8,0.40123,1932,2143,228,3,32,57.76,33.18,1.740807715
Harmaja,L225,Nopea luotsivene L225,1611,60.5,88,35.5,7.8,0.40123,1932,2143,228,3,32,59.56,35.2,1.692045455
Harmaja,L225,Nopea luotsivene L225,1613,62.9,93,34.7,12.9,0.40123,1932,2143,228,3,32,62.96,35.76,1.760626398
Harmaja,L225,Nopea luotsivene L225,1620,62.5,91,35.1,7.4,0.40123,1932,2143,228,3,32,63.86,36.28,1.760198456
Harmaja,L225,Nopea luotsivene L225,1623,64.2,95,34.7,10.7,0.40123,1932,2143,228,3,32,62.9,35.1,1.792022792
Harmaja,L225,Nopea luotsivene L225,1630,65,96,36.7,13.4,0.40123,1932,2143,228,3,32,63.02,35.34,1.783248444
Harmaja,L225,Nopea luotsivene L225,1645,65.7,97,36.9,19.3,0.40123,1932,2143,228,3,32,64.06,35.62,1.79842785
Harmaja,L225,Nopea luotsivene L225,1658,66.1,94,36.2,10.1,0.40123,1932,2143,228,3,32,64.7,35.92,1.801224944
Harmaja,L225,Nopea luotsivene L225,1661,65.8,98,37.4,47.7,0.40123,1932,2143,228,3,32,65.36,36.38,1.796591534
Harmaja,L225,Nopea luotsivene L225,1663,67.4,100,35.5,65.7,0.40123,1932,2143,228,3,32,66,36.54,1.806239737
Harmaja,L225,Nopea luotsivene L225,1670,71.9,92,37.4,21.1,0.40123,1932,2143,228,3,32,67.38,36.68,1.836968375
Harmaja,L225,Nopea luotsivene L225,1684,69.3,94,36.3,12,0.40123,1932,2143,228,3,32,68.1,36.56,1.862691466
Harmaja,L225,Nopea luotsivene L225,1686,69.2,88,38.3,3.1,0.40123,1932,2143,228,3,32,68.72,36.98,1.858301785
Harmaja,L225,Nopea luotsivene L225,1694,68.2,95,39.1,52.9,0.40123,1932,2143,228,3,32,69.2,37.32,1.854233655
Harmaja,L225,Nopea luotsivene L225,1697,72.8,93,37.8,32.8,0.40123,1932,2143,228,3,32,70.28,37.78,1.860243515
Harmaja,L225,Nopea luotsivene L225,1701,71.1,90,37.5,9.5,0.40123,1932,2143,228,3,32,70.12,37.8,1.855026455
Harmaja,L225,Nopea luotsivene L225,1704,76.6,97,34,23.8,0.40123,1932,2143,228,3,32,71.58,37.34,1.916979111
Harmaja,L225,Nopea luotsivene L225,1707,69.9,90,38.2,5.5,0.40123,1932,2143,228,3,32,71.72,37.32,1.921757771
Harmaja,L225,Nopea luotsivene L225,1708,71,91,37.9,31,0.40123,1932,2143,228,3,32,72.28,37.08,1.949298813
Harmaja,L225,Nopea luotsivene L225,1709,72,92,38.1,33.7,0.40123,1932,2143,228,3,32,72.12,37.14,1.94184168
Harmaja,L225,Nopea luotsivene L225,1712,70.3,93,39.2,20.9,0.40123,1932,2143,228,3,32,71.96,37.48,1.919957311
Harmaja,L225,Nopea luotsivene L225,1723,71.3,90,39,4,0.40123,1932,2143,228,3,32,70.9,38.48,1.842515593
Harmaja,L225,Nopea luotsivene L225,1730,73.1,91,39.3,4.6,0.40123,1932,2143,228,3,32,71.54,38.7,1.848578811
Harmaja,L225,Nopea luotsivene L225,1738,71.4,90,38.7,8.3,0.40123,1932,2143,228,3,32,71.62,38.86,1.843026248
Harmaja,L225,Nopea luotsivene L225,1747,74.7,94,39.8,13.8,0.40123,1932,2143,228,3,32,72.16,39.2,1.840816327
Harmaja,L225,Nopea luotsivene L225,1751,76.3,95,39.5,9.3,0.40123,1932,2143,228,3,32,73.36,39.26,1.868568518
Harmaja,L225,Nopea luotsivene L225,1781,79.5,98,39.8,38.8,0.40123,1932,2143,228,3,32,75,39.42,1.902587519
Harmaja,L225,Nopea luotsivene L225,1785,81.8,100,39.9,46.6,0.40123,1932,2143,228,3,32,76.74,39.54,1.940819423
Harmaja,L225,Nopea luotsivene L225,1786,81.8,100,40.2,40.1,0.40123,1932,2143,228,3,32,78.82,39.84,1.978413655
Harmaja,L225,Nopea luotsivene L225,1794,82.3,100,40.8,35.6,0.40123,1932,2143,228,3,32,80.34,40.04,2.006493506
Harmaja,L225,Nopea luotsivene L225,1796,82.3,100,40.5,67.5,0.40123,1932,2143,228,3,32,81.54,40.24,2.026341948
Harmaja,L225,Nopea luotsivene L225,1797,82.3,100,41,39.3,0.40123,1932,2143,228,3,32,82.1,40.48,2.028162055
Harmaja,L225,Nopea luotsivene L225,1800,82.1,100,41.5,33.9,0.40123,1932,2143,228,3,32,82.16,40.8,2.01372549
Harmaja,L225,Nopea luotsivene L225,1802,82.4,100,41.5,14.7,0.40123,1932,2143,228,3,32,82.28,41.06,2.003896736
Harmaja,L225,Nopea luotsivene L225,1802,82.3,100,41,22,0.40123,1932,2143,228,3,32,82.28,41.1,2.001946472
Harmaja,L225,Nopea luotsivene L225,1803,80.8,100,43.1,7.3,0.40123,1932,2143,228,3,32,81.98,41.62,1.969726093
Harmaja,L225,Nopea luotsivene L225,1805,81.3,100,42.6,45.8,0.40123,1932,2143,228,3,32,81.78,41.94,1.949928469
Harmaja,L225,Nopea luotsivene L225,1806,81.8,100,43.2,41.4,0.40123,1932,2143,228,3,32,81.72,42.28,1.932828761
Harmaja,L225,Nopea luotsivene L225,1813,78.4,100,42,1.6,0.40123,1932,2143,228,3,32,80.92,42.38,1.909391222
Harmaja,L145,Kutteri L145,633,7.4,43,2.8,34.6,0.40123,834,801,66,18,78,4.92,5.58,0.88172043
Harmaja,L145,Kutteri L145,646,8,46,8.3,74.3,0.40123,834,801,66,18,78,4.92,5.58,0.88172043
Harmaja,L145,Kutteri L145,647,1.7,10,0,42.1,0.40123,834,801,66,18,78,4.92,5.58,0.88172043
Harmaja,L145,Kutteri L145,648,2.2,13,5.4,14.2,0.40123,834,801,66,18,78,4.92,5.58,0.88172043
Harmaja,L145,Kutteri L145,649,5.3,30,11.4,43.8,0.40123,834,801,66,18,78,4.92,5.58,0.88172043
Harmaja,L145,Kutteri L145,649,1.4,9,0,85.3,0.40123,834,801,66,18,78,3.72,5.02,0.741035857
Harmaja,L145,Kutteri L145,649,6.2,35,12.9,0.5,0.40123,834,801,66,18,78,3.36,5.94,0.565656566
Harmaja,L145,Kutteri L145,650,2.1,13,0,44.1,0.40123,834,801,66,18,78,3.44,5.94,0.579124579
Harmaja,L145,Kutteri L145,650,8.3,48,6.8,8.3,0.40123,834,801,66,18,78,4.66,6.22,0.749196141
Harmaja,L145,Kutteri L145,650,1.2,7,7,29.3,0.40123,834,801,66,18,78,3.84,5.34,0.719101124
Harmaja,L145,Kutteri L145,650,6.3,36,12.1,0.1,0.40123,834,801,66,18,78,4.82,7.76,0.621134021
Harmaja,L145,Kutteri L145,651,1.5,8,3.6,51.3,0.40123,834,801,66,18,78,3.88,5.9,0.657627119
Harmaja,L145,Kutteri L145,651,1.8,11,0,33.9,0.40123,834,801,66,18,78,3.82,5.9,0.647457627
Harmaja,L145,Kutteri L145,652,6.2,36,12.9,22.2,0.40123,834,801,66,18,78,3.4,7.12,0.47752809
Harmaja,L145,Kutteri L145,667,2.1,12,0,44.8,0.40123,834,801,66,18,78,3.58,5.72,0.625874126
Harmaja,L145,Kutteri L145,866,13.1,58,17.7,66.8,0.40123,834,801,66,18,78,4.94,6.84,0.722222222
Harmaja,L145,Kutteri L145,893,13.3,57,17.2,61.1,0.40123,834,801,66,18,78,7.3,9.56,0.763598326
Harmaja,L145,Kutteri L145,1020,20.9,71,17.6,23.4,0.40123,834,801,66,18,78,11.12,13.08,0.850152905
Harmaja,L145,Kutteri L145,1063,23.8,75,18.6,0.7,0.40123,834,801,66,18,78,14.64,14.22,1.029535865
Harmaja,L145,Kutteri L145,1065,18.7,66,21.3,22.8,0.40123,834,801,66,18,78,17.96,18.48,0.971861472
Harmaja,L145,Kutteri L145,1081,23.6,72,17.1,22.3,0.40123,834,801,66,18,78,20.06,18.36,1.092592593
Harmaja,L145,Kutteri L145,1170,30.4,78,20.9,15,0.40123,834,801,66,18,78,23.48,19.1,1.229319372
Harmaja,L145,Kutteri L145,1224,34.1,80,21.3,12.7,0.40123,834,801,66,18,78,26.12,19.84,1.316532258
Harmaja,L145,Kutteri L145,1336,45,89,25.2,24.7,0.40123,834,801,66,18,78,30.36,21.16,1.434782609
Harmaja,L145,Kutteri L145,1391,31.3,75,29.7,11,0.40123,834,801,66,18,78,32.88,22.84,1.439579685
Harmaja,L145,Kutteri L145,1417,51.5,88,25.4,24.6,0.40123,834,801,66,18,78,38.46,24.5,1.569795918
Harmaja,L145,Kutteri L145,1433,45.9,83,31.9,1.4,0.40123,834,801,66,18,78,41.56,26.7,1.556554307
Harmaja,L145,Kutteri L145,1542,58,88,32.5,5,0.40123,834,801,66,18,78,46.34,28.94,1.601243953
Harmaja,L145,Kutteri L145,1588,69,99,40.6,4.5,0.40123,834,801,66,18,78,51.14,32.02,1.597126796
Harmaja,L145,Kutteri L145,1607,64.4,95,35.5,21.8,0.40123,834,801,66,18,78,57.76,33.18,1.740807715
Harmaja,L145,Kutteri L145,1611,60.5,88,35.5,7.8,0.40123,834,801,66,18,78,59.56,35.2,1.692045455
Harmaja,L145,Kutteri L145,1613,62.9,93,34.7,12.9,0.40123,834,801,66,18,78,62.96,35.76,1.760626398
Harmaja,L145,Kutteri L145,1620,62.5,91,35.1,7.4,0.40123,834,801,66,18,78,63.86,36.28,1.760198456
Harmaja,L145,Kutteri L145,1623,64.2,95,34.7,10.7,0.40123,834,801,66,18,78,62.9,35.1,1.792022792
Harmaja,L145,Kutteri L145,1630,65,96,36.7,13.4,0.40123,834,801,66,18,78,63.02,35.34,1.783248444
Harmaja,L145,Kutteri L145,1645,65.7,97,36.9,19.3,0.40123,834,801,66,18,78,64.06,35.62,1.79842785
Harmaja,L145,Kutteri L145,1658,66.1,94,36.2,10.1,0.40123,834,801,66,18,78,64.7,35.92,1.801224944
Harmaja,L145,Kutteri L145,1661,65.8,98,37.4,47.7,0.40123,834,801,66,18,78,65.36,36.38,1.796591534
Harmaja,L145,Kutteri L145,1663,67.4,100,35.5,65.7,0.40123,834,801,66,18,78,66,36.54,1.806239737
Harmaja,L145,Kutteri L145,1670,71.9,92,37.4,21.1,0.40123,834,801,66,18,78,67.38,36.68,1.836968375
Harmaja,L145,Kutteri L145,1684,69.3,94,36.3,12,0.40123,834,801,66,18,78,68.1,36.56,1.862691466
Harmaja,L145,Kutteri L145,1686,69.2,88,38.3,3.1,0.40123,834,801,66,18,78,68.72,36.98,1.858301785
Harmaja,L145,Kutteri L145,1694,68.2,95,39.1,52.9,0.40123,834,801,66,18,78,69.2,37.32,1.854233655
Harmaja,L145,Kutteri L145,1697,72.8,93,37.8,32.8,0.40123,834,801,66,18,78,70.28,37.78,1.860243515
Harmaja,L145,Kutteri L145,1701,71.1,90,37.5,9.5,0.40123,834,801,66,18,78,70.12,37.8,1.855026455
Harmaja,L145,Kutteri L145,1704,76.6,97,34,23.8,0.40123,834,801,66,18,78,71.58,37.34,1.916979111
Harmaja,L145,Kutteri L145,1707,69.9,90,38.2,5.5,0.40123,834,801,66,18,78,71.72,37.32,1.921757771
Harmaja,L145,Kutteri L145,1708,71,91,37.9,31,0.40123,834,801,66,18,78,72.28,37.08,1.949298813
Harmaja,L145,Kutteri L145,1709,72,92,38.1,33.7,0.40123,834,801,66,18,78,72.12,37.14,1.94184168
Harmaja,L145,Kutteri L145,1712,70.3,93,39.2,20.9,0.40123,834,801,66,18,78,71.96,37.48,1.919957311
Harmaja,L145,Kutteri L145,1723,71.3,90,39,4,0.40123,834,801,66,18,78,70.9,38.48,1.842515593
Harmaja,L145,Kutteri L145,1730,73.1,91,39.3,4.6,0.40123,834,801,66,18,78,71.54,38.7,1.848578811
Harmaja,L145,Kutteri L145,1738,71.4,90,38.7,8.3,0.40123,834,801,66,18,78,71.62,38.86,1.843026248
Harmaja,L145,Kutteri L145,1747,74.7,94,39.8,13.8,0.40123,834,801,66,18,78,72.16,39.2,1.840816327
Harmaja,L145,Kutteri L145,1751,76.3,95,39.5,9.3,0.40123,834,801,66,18,78,73.36,39.26,1.868568518
Harmaja,L145,Kutteri L145,1781,79.5,98,39.8,38.8,0.40123,834,801,66,18,78,75,39.42,1.902587519
Harmaja,L145,Kutteri L145,1785,81.8,100,39.9,46.6,0.40123,834,801,66,18,78,76.74,39.54,1.940819423
Harmaja,L145,Kutteri L145,1786,81.8,100,40.2,40.1,0.40123,834,801,66,18,78,78.82,39.84,1.978413655
Harmaja,L145,Kutteri L145,1794,82.3,100,40.8,35.6,0.40123,834,801,66,18,78,80.34,40.04,2.006493506
Harmaja,L145,Kutteri L145,1796,82.3,100,40.5,67.5,0.40123,834,801,66,18,78,81.54,40.24,2.026341948
Harmaja,L145,Kutteri L145,1797,82.3,100,41,39.3,0.40123,834,801,66,18,78,82.1,40.48,2.028162055
Harmaja,L145,Kutteri L145,1800,82.1,100,41.5,33.9,0.40123,834,801,66,18,78,82.16,40.8,2.01372549
Harmaja,L145,Kutteri L145,1802,82.4,100,41.5,14.7,0.40123,834,801,66,18,78,82.28,41.06,2.003896736
Harmaja,L145,Kutteri L145,1802,82.3,100,41,22,0.40123,834,801,66,18,78,82.28,41.1,2.001946472
Harmaja,L145,Kutteri L145,1803,80.8,100,43.1,7.3,0.40123,834,801,66,18,78,81.98,41.62,1.969726093
Harmaja,L145,Kutteri L145,1805,81.3,100,42.6,45.8,0.40123,834,801,66,18,78,81.78,41.94,1.949928469
Harmaja,L145,Kutteri L145,1806,81.8,100,43.2,41.4,0.40123,834,801,66,18,78,81.72,42.28,1.932828761
Harmaja,L145,Kutteri L145,1813,78.4,100,42,1.6,0.40123,834,801,66,18,78,80.92,42.38,1.909391222
Porkkala,L215,Nopea luotsivene L215,633,7.4,43,2.8,34.6,0.40123,258,312,24,23,102,4.92,5.58,0.88172043
Porkkala,L215,Nopea luotsivene L215,646,8,46,8.3,74.3,0.40123,258,312,24,23,102,4.92,5.58,0.88172043
Porkkala,L215,Nopea luotsivene L215,647,1.7,10,0,42.1,0.40123,258,312,24,23,102,4.92,5.58,0.88172043
Porkkala,L215,Nopea luotsivene L215,648,2.2,13,5.4,14.2,0.40123,258,312,24,23,102,4.92,5.58,0.88172043
Porkkala,L215,Nopea luotsivene L215,649,5.3,30,11.4,43.8,0.40123,258,312,24,23,102,4.92,5.58,0.88172043
Porkkala,L215,Nopea luotsivene L215,649,1.4,9,0,85.3,0.40123,258,312,24,23,102,3.72,5.02,0.741035857
Porkkala,L215,Nopea luotsivene L215,649,6.2,35,12.9,0.5,0.40123,258,312,24,23,102,3.36,5.94,0.565656566
Porkkala,L215,Nopea luotsivene L215,650,2.1,13,0,44.1,0.40123,258,312,24,23,102,3.44,5.94,0.579124579
